"","age5","level","value.Least deprived","value.Less deprived","value.Median deprived","value.More deprieved","value.Most deprived"
"1","age 16-17?","lvl 1","95 %","97 %","97 %","97 %","97 %"
"2","age 16-17?","lvl 2","4 %","3 %","3 %","3 %","3 %"
"3","age 16-17?","lvl 3","1 %","0 %","0 %","1 %","0 %"
"4","age 18-20?","lvl 1","97 %","94 %","97 %","96 %","90 %"
"5","age 18-20?","lvl 2","3 %","6 %","3 %","4 %","9 %"
"6","age 18-20?","lvl 3","0 %","0 %","0 %","0 %","0 %"
"7","age 20-24","lvl 1","95 %","95 %","91 %","95 %","92 %"
"8","age 20-24","lvl 2","5 %","5 %","8 %","5 %","7 %"
"9","age 20-24","lvl 3","0 %","0 %","0 %","0 %","1 %"
"10","age 25-29","lvl 1","94 %","93 %","93 %","93 %","90 %"
"11","age 25-29","lvl 2","5 %","7 %","6 %","7 %","10 %"
"12","age 25-29","lvl 3","1 %","0 %","0 %","0 %","0 %"
"13","age 30-34","lvl 1","93 %","92 %","93 %","91 %","90 %"
"14","age 30-34","lvl 2","7 %","7 %","6 %","8 %","9 %"
"15","age 30-34","lvl 3","0 %","0 %","0 %","1 %","1 %"
"16","age 35-39","lvl 1","93 %","92 %","91 %","89 %","86 %"
"17","age 35-39","lvl 2","7 %","8 %","8 %","11 %","13 %"
"18","age 35-39","lvl 3","0 %","0 %","1 %","1 %","1 %"
"19","age 40-44","lvl 1","92 %","92 %","89 %","86 %","82 %"
"20","age 40-44","lvl 2","7 %","7 %","11 %","13 %","17 %"
"21","age 40-44","lvl 3","1 %","1 %","0 %","1 %","2 %"
"22","age 45-49","lvl 1","91 %","89 %","88 %","83 %","76 %"
"23","age 45-49","lvl 2","9 %","10 %","11 %","16 %","22 %"
"24","age 45-49","lvl 3","0 %","1 %","2 %","1 %","2 %"
"25","age 50-54","lvl 1","90 %","85 %","81 %","76 %","68 %"
"26","age 50-54","lvl 2","10 %","13 %","16 %","21 %","28 %"
"27","age 50-54","lvl 3","0 %","2 %","3 %","3 %","4 %"
"28","age 55-59","lvl 1","86 %","82 %","78 %","75 %","65 %"
"29","age 55-59","lvl 2","13 %","17 %","20 %","22 %","31 %"
"30","age 55-59","lvl 3","1 %","1 %","2 %","3 %","4 %"
"31","age 60-64","lvl 1","85 %","81 %","77 %","74 %","66 %"
"32","age 60-64","lvl 2","14 %","17 %","20 %","24 %","31 %"
"33","age 60-64","lvl 3","1 %","1 %","2 %","2 %","4 %"
"34","age 65-69","lvl 1","84 %","80 %","80 %","71 %","66 %"
"35","age 65-69","lvl 2","15 %","18 %","19 %","27 %","29 %"
"36","age 65-69","lvl 3","1 %","2 %","2 %","2 %","5 %"
"37","age 70-74","lvl 1","76 %","73 %","71 %","65 %","60 %"
"38","age 70-74","lvl 2","22 %","26 %","27 %","32 %","36 %"
"39","age 70-74","lvl 3","1 %","2 %","2 %","3 %","5 %"
"40","age 75-79","lvl 1","75 %","67 %","64 %","63 %","51 %"
"41","age 75-79","lvl 2","23 %","31 %","31 %","31 %","42 %"
"42","age 75-79","lvl 3","2 %","3 %","4 %","6 %","7 %"
"43","age 80-84","lvl 1","57 %","65 %","56 %","49 %","47 %"
"44","age 80-84","lvl 2","37 %","31 %","38 %","44 %","43 %"
"45","age 80-84","lvl 3","6 %","4 %","6 %","7 %","9 %"
"46","age 85-89","lvl 1","46 %","44 %","43 %","35 %","36 %"
"47","age 85-89","lvl 2","47 %","48 %","48 %","56 %","50 %"
"48","age 85-89","lvl 3","7 %","8 %","9 %","9 %","14 %"
"49","age 90+","lvl 1","42 %","39 %","36 %","40 %","22 %"
"50","age 90+","lvl 2","47 %","52 %","46 %","47 %","56 %"
"51","age 90+","lvl 3","11 %","9 %","18 %","13 %","22 %"
