"age5","eq5d.Least deprived","eq5d.Less deprived","eq5d.Median deprived","eq5d.More deprieved","eq5d.Most deprived","most/least ratio"
16,"0.97 (0.60; 1.34)","0.99 (0.61; 1.36)","0.99 (0.61; 1.36)","0.97 (0.60; 1.35)","0.97 (0.60; 1.34)","1.00 (1.00; 1.00)"
18,"0.97 (0.59; 1.34)","0.99 (0.61; 1.36)","0.98 (0.60; 1.35)","0.98 (0.60; 1.35)","0.96 (0.59; 1.34)","0.99 (0.99; 0.99)"
20,"0.96 (0.59; 1.34)","0.99 (0.61; 1.36)","0.96 (0.58; 1.33)","0.95 (0.58; 1.33)","0.95 (0.58; 1.33)","0.99 (0.99; 0.99)"
25,"0.96 (0.59; 1.34)","0.97 (0.60; 1.35)","0.97 (0.59; 1.34)","0.95 (0.58; 1.33)","0.96 (0.58; 1.33)","0.99 (0.99; 0.99)"
30,"0.97 (0.60; 1.35)","0.96 (0.59; 1.34)","0.96 (0.58; 1.33)","0.95 (0.57; 1.32)","0.96 (0.58; 1.33)","0.98 (0.98; 0.98)"
35,"0.97 (0.59; 1.34)","0.97 (0.60; 1.35)","0.95 (0.58; 1.33)","0.94 (0.57; 1.32)","0.91 (0.54; 1.29)","0.95 (0.95; 0.95)"
40,"0.97 (0.59; 1.34)","0.95 (0.58; 1.33)","0.95 (0.58; 1.33)","0.93 (0.55; 1.30)","0.89 (0.52; 1.26)","0.92 (0.92; 0.92)"
45,"0.97 (0.60; 1.35)","0.96 (0.58; 1.33)","0.95 (0.57; 1.32)","0.93 (0.56; 1.31)","0.86 (0.49; 1.24)","0.89 (0.89; 0.89)"
50,"0.96 (0.59; 1.34)","0.95 (0.57; 1.32)","0.94 (0.56; 1.31)","0.91 (0.54; 1.29)","0.88 (0.50; 1.25)","0.91 (0.91; 0.91)"
55,"0.97 (0.60; 1.35)","0.96 (0.59; 1.34)","0.94 (0.56; 1.31)","0.91 (0.54; 1.29)","0.84 (0.46; 1.21)","0.86 (0.86; 0.86)"
60,"0.96 (0.59; 1.33)","0.94 (0.57; 1.31)","0.92 (0.55; 1.30)","0.87 (0.50; 1.25)","0.81 (0.44; 1.19)","0.85 (0.85; 0.85)"
65,"0.98 (0.61; 1.36)","0.95 (0.58; 1.33)","0.95 (0.58; 1.33)","0.91 (0.54; 1.29)","0.88 (0.50; 1.25)","0.89 (0.89; 0.89)"
70,"0.96 (0.58; 1.33)","0.95 (0.57; 1.32)","0.94 (0.57; 1.32)","0.93 (0.55; 1.30)","0.88 (0.51; 1.25)","0.92 (0.92; 0.92)"
75,"0.96 (0.58; 1.33)","0.93 (0.56; 1.31)","0.92 (0.55; 1.30)","0.91 (0.53; 1.28)","0.87 (0.50; 1.25)","0.91 (0.91; 0.91)"
80,"0.94 (0.57; 1.32)","0.90 (0.52; 1.27)","0.89 (0.51; 1.26)","0.87 (0.49; 1.24)","0.88 (0.51; 1.26)","0.94 (0.94; 0.94)"
85,"0.84 (0.46; 1.22)","0.89 (0.51; 1.26)","0.87 (0.49; 1.24)","0.82 (0.45; 1.20)","0.85 (0.47; 1.23)","1.01 (1.01; 1.01)"
90,"0.82 (0.43; 1.20)","0.79 (0.41; 1.17)","0.80 (0.42; 1.19)","0.74 (0.35; 1.12)","0.65 (0.26; 1.04)","0.80 (0.80; 0.80)"
