"age5","eq5d.Least deprived","eq5d.Less deprived","eq5d.Median deprived","eq5d.More deprieved","eq5d.Most deprived","most/least ratio"
16,"0.93 (0.52; 1.35)","0.95 (0.53; 1.36)","0.94 (0.53; 1.35)","0.94 (0.53; 1.35)","0.94 (0.53; 1.35)","1.01 (0.98; 1.04)"
18,"0.93 (0.52; 1.35)","0.93 (0.52; 1.34)","0.94 (0.52; 1.35)","0.94 (0.53; 1.36)","0.90 (0.48; 1.31)","0.96 (0.92; 0.99)"
20,"0.93 (0.51; 1.34)","0.94 (0.53; 1.35)","0.92 (0.51; 1.33)","0.92 (0.51; 1.34)","0.91 (0.50; 1.32)","0.98 (0.96; 1.00)"
25,"0.93 (0.52; 1.34)","0.93 (0.52; 1.34)","0.93 (0.52; 1.35)","0.91 (0.50; 1.33)","0.90 (0.49; 1.32)","0.97 (0.95; 0.99)"
30,"0.94 (0.53; 1.35)","0.93 (0.52; 1.35)","0.92 (0.50; 1.33)","0.90 (0.49; 1.32)","0.88 (0.47; 1.29)","0.94 (0.92; 0.96)"
35,"0.93 (0.52; 1.34)","0.91 (0.50; 1.32)","0.90 (0.49; 1.32)","0.88 (0.47; 1.29)","0.85 (0.44; 1.26)","0.91 (0.89; 0.93)"
40,"0.92 (0.50; 1.33)","0.90 (0.49; 1.31)","0.89 (0.48; 1.30)","0.86 (0.45; 1.27)","0.81 (0.39; 1.22)","0.88 (0.85; 0.91)"
45,"0.90 (0.49; 1.31)","0.89 (0.48; 1.31)","0.87 (0.45; 1.28)","0.85 (0.44; 1.26)","0.78 (0.37; 1.19)","0.87 (0.84; 0.90)"
50,"0.88 (0.47; 1.30)","0.87 (0.45; 1.28)","0.81 (0.40; 1.22)","0.78 (0.37; 1.20)","0.72 (0.30; 1.13)","0.81 (0.77; 0.84)"
55,"0.87 (0.46; 1.28)","0.84 (0.43; 1.25)","0.80 (0.39; 1.22)","0.77 (0.35; 1.18)","0.68 (0.27; 1.09)","0.78 (0.74; 0.82)"
60,"0.86 (0.45; 1.27)","0.83 (0.42; 1.25)","0.79 (0.38; 1.20)","0.78 (0.36; 1.19)","0.70 (0.29; 1.12)","0.82 (0.78; 0.85)"
65,"0.84 (0.43; 1.25)","0.81 (0.40; 1.22)","0.81 (0.40; 1.22)","0.76 (0.34; 1.17)","0.69 (0.28; 1.11)","0.82 (0.78; 0.86)"
70,"0.81 (0.40; 1.23)","0.78 (0.37; 1.19)","0.77 (0.35; 1.18)","0.72 (0.31; 1.14)","0.69 (0.27; 1.10)","0.84 (0.79; 0.89)"
75,"0.80 (0.39; 1.22)","0.74 (0.32; 1.15)","0.74 (0.33; 1.16)","0.73 (0.32; 1.14)","0.64 (0.23; 1.06)","0.80 (0.75; 0.85)"
80,"0.71 (0.30; 1.13)","0.72 (0.30; 1.13)","0.70 (0.28; 1.11)","0.68 (0.26; 1.09)","0.63 (0.22; 1.04)","0.88 (0.82; 0.95)"
85,"0.68 (0.26; 1.09)","0.68 (0.27; 1.09)","0.62 (0.21; 1.04)","0.61 (0.20; 1.03)","0.59 (0.18; 1.01)","0.87 (0.78; 0.98)"
90,"0.64 (0.22; 1.05)","0.62 (0.21; 1.04)","0.61 (0.20; 1.03)","0.63 (0.21; 1.05)","0.52 (0.10; 0.94)","0.82 (0.65; 1.00)"
