"age5","eq5d.Least deprived","eq5d.Less deprived","eq5d.Median deprived","eq5d.More deprieved","eq5d.Most deprived","most/least ratio"
16,"0.88 (0.47; 1.29)","0.91 (0.49; 1.32)","0.89 (0.48; 1.31)","0.83 (0.42; 1.24)","0.89 (0.48; 1.30)","1.01 (0.93; 1.11)"
18,"0.91 (0.50; 1.32)","0.83 (0.42; 1.24)","0.91 (0.50; 1.32)","0.86 (0.45; 1.28)","0.79 (0.38; 1.20)","0.87 (0.71; 1.01)"
20,"0.87 (0.46; 1.28)","0.85 (0.44; 1.26)","0.87 (0.47; 1.28)","0.88 (0.47; 1.28)","0.85 (0.45; 1.26)","0.98 (0.91; 1.08)"
25,"0.89 (0.48; 1.30)","0.92 (0.52; 1.33)","0.87 (0.46; 1.28)","0.86 (0.45; 1.27)","0.85 (0.44; 1.25)","0.95 (0.89; 1.01)"
30,"0.91 (0.50; 1.32)","0.89 (0.48; 1.30)","0.87 (0.47; 1.28)","0.84 (0.44; 1.25)","0.85 (0.45; 1.26)","0.94 (0.89; 0.99)"
35,"0.87 (0.46; 1.28)","0.87 (0.46; 1.28)","0.86 (0.46; 1.27)","0.85 (0.44; 1.26)","0.84 (0.43; 1.24)","0.96 (0.91; 1.02)"
40,"0.91 (0.51; 1.32)","0.87 (0.46; 1.28)","0.83 (0.42; 1.23)","0.82 (0.41; 1.23)","0.81 (0.40; 1.22)","0.88 (0.83; 0.94)"
45,"0.88 (0.47; 1.29)","0.81 (0.40; 1.22)","0.84 (0.43; 1.25)","0.81 (0.40; 1.22)","0.73 (0.33; 1.14)","0.83 (0.77; 0.89)"
50,"0.85 (0.44; 1.26)","0.85 (0.44; 1.25)","0.83 (0.43; 1.24)","0.77 (0.36; 1.18)","0.71 (0.30; 1.12)","0.84 (0.76; 0.92)"
55,"0.87 (0.47; 1.28)","0.84 (0.43; 1.24)","0.80 (0.39; 1.20)","0.75 (0.34; 1.16)","0.73 (0.33; 1.14)","0.84 (0.77; 0.91)"
60,"0.87 (0.46; 1.28)","0.80 (0.39; 1.21)","0.80 (0.39; 1.21)","0.74 (0.33; 1.15)","0.67 (0.26; 1.08)","0.77 (0.69; 0.84)"
65,"0.82 (0.41; 1.22)","0.82 (0.41; 1.23)","0.81 (0.41; 1.22)","0.75 (0.34; 1.16)","0.64 (0.24; 1.05)","0.79 (0.69; 0.88)"
70,"0.83 (0.42; 1.24)","0.81 (0.40; 1.22)","0.78 (0.37; 1.18)","0.75 (0.34; 1.16)","0.70 (0.29; 1.11)","0.84 (0.75; 0.92)"
75,"0.78 (0.38; 1.19)","0.76 (0.35; 1.17)","0.74 (0.33; 1.15)","0.70 (0.29; 1.11)","0.67 (0.26; 1.08)","0.86 (0.75; 0.96)"
80,"0.75 (0.34; 1.16)","0.73 (0.31; 1.14)","0.72 (0.31; 1.13)","0.71 (0.30; 1.12)","0.67 (0.26; 1.08)","0.89 (0.77; 1.03)"
85,"0.72 (0.31; 1.13)","0.73 (0.32; 1.14)","0.65 (0.23; 1.06)","0.60 (0.18; 1.01)","0.56 (0.14; 0.98)","0.78 (0.56; 1.00)"
90,"0.66 (0.25; 1.08)","0.66 (0.24; 1.08)","0.73 (0.31; 1.16)","0.58 (0.15; 1.01)","0.67 (0.24; 1.10)","1.01 (0.79; 1.28)"
