"age5","eq5d.Least deprived","eq5d.Less deprived","eq5d.Median deprived","eq5d.More deprieved","eq5d.Most deprived","most/least ratio"
16,"0.90 (0.57; 1.24)","0.92 (0.58; 1.26)","0.92 (0.58; 1.26)","0.92 (0.58; 1.26)","0.91 (0.57; 1.24)","1.00 (1.00; 1.00)"
18,"0.96 (0.62; 1.30)","0.89 (0.55; 1.23)","0.96 (0.62; 1.30)","0.94 (0.60; 1.28)","0.87 (0.53; 1.21)","0.91 (0.91; 0.91)"
20,"0.93 (0.59; 1.26)","0.93 (0.59; 1.26)","0.91 (0.57; 1.24)","0.92 (0.58; 1.26)","0.91 (0.57; 1.25)","0.98 (0.98; 0.98)"
25,"0.93 (0.59; 1.27)","0.96 (0.62; 1.29)","0.93 (0.60; 1.27)","0.91 (0.57; 1.24)","0.90 (0.57; 1.24)","0.97 (0.97; 0.97)"
30,"0.94 (0.61; 1.28)","0.95 (0.61; 1.28)","0.93 (0.59; 1.26)","0.88 (0.55; 1.22)","0.92 (0.58; 1.25)","0.97 (0.97; 0.97)"
35,"0.93 (0.59; 1.26)","0.93 (0.59; 1.26)","0.92 (0.58; 1.25)","0.91 (0.57; 1.24)","0.90 (0.56; 1.23)","0.97 (0.97; 0.97)"
40,"0.96 (0.63; 1.30)","0.92 (0.59; 1.26)","0.89 (0.55; 1.23)","0.90 (0.56; 1.24)","0.90 (0.56; 1.23)","0.93 (0.93; 0.93)"
45,"0.94 (0.60; 1.27)","0.91 (0.57; 1.24)","0.93 (0.60; 1.27)","0.89 (0.55; 1.23)","0.84 (0.51; 1.18)","0.90 (0.90; 0.90)"
50,"0.91 (0.58; 1.25)","0.92 (0.59; 1.26)","0.93 (0.59; 1.26)","0.87 (0.54; 1.21)","0.86 (0.53; 1.20)","0.94 (0.94; 0.94)"
55,"0.94 (0.60; 1.28)","0.93 (0.59; 1.26)","0.91 (0.57; 1.24)","0.86 (0.52; 1.19)","0.87 (0.54; 1.21)","0.93 (0.93; 0.93)"
60,"0.95 (0.62; 1.29)","0.89 (0.55; 1.22)","0.90 (0.56; 1.23)","0.88 (0.54; 1.21)","0.84 (0.50; 1.18)","0.88 (0.88; 0.88)"
65,"0.92 (0.58; 1.25)","0.92 (0.59; 1.26)","0.92 (0.58; 1.25)","0.89 (0.55; 1.22)","0.82 (0.48; 1.15)","0.89 (0.89; 0.89)"
70,"0.93 (0.60; 1.27)","0.93 (0.59; 1.26)","0.89 (0.56; 1.23)","0.90 (0.57; 1.24)","0.84 (0.50; 1.17)","0.90 (0.90; 0.90)"
75,"0.89 (0.56; 1.23)","0.88 (0.54; 1.22)","0.88 (0.54; 1.21)","0.86 (0.52; 1.19)","0.85 (0.51; 1.19)","0.95 (0.95; 0.95)"
80,"0.93 (0.59; 1.26)","0.88 (0.54; 1.22)","0.87 (0.53; 1.20)","0.87 (0.53; 1.21)","0.82 (0.48; 1.16)","0.89 (0.89; 0.89)"
85,"0.86 (0.52; 1.20)","0.86 (0.52; 1.20)","0.81 (0.46; 1.15)","0.78 (0.44; 1.13)","0.75 (0.40; 1.09)","0.87 (0.87; 0.87)"
90,"0.80 (0.45; 1.14)","0.77 (0.43; 1.12)","0.83 (0.48; 1.18)","0.65 (0.30; 1.01)","0.85 (0.50; 1.20)","1.07 (1.07; 1.07)"
