"","age5","level","value.Least deprived","value.Less deprived","value.Median deprived","value.More deprieved","value.Most deprived"
"1","age 16-17?","lvl 1","98 %","100 %","99 %","99 %","100 %"
"2","age 16-17?","lvl 2","1 %","0 %","1 %","1 %","0 %"
"3","age 16-17?","lvl 3","1 %","0 %","0 %","0 %","0 %"
"4","age 18-20?","lvl 1","100 %","99 %","100 %","98 %","100 %"
"5","age 18-20?","lvl 2","0 %","1 %","0 %","2 %","0 %"
"6","age 18-20?","lvl 3","0 %","0 %","0 %","0 %","0 %"
"7","age 20-24","lvl 1","100 %","100 %","99 %","99 %","98 %"
"8","age 20-24","lvl 2","0 %","0 %","1 %","1 %","1 %"
"9","age 20-24","lvl 3","0 %","0 %","0 %","0 %","0 %"
"10","age 25-29","lvl 1","99 %","99 %","99 %","99 %","98 %"
"11","age 25-29","lvl 2","1 %","1 %","1 %","1 %","2 %"
"12","age 25-29","lvl 3","0 %","0 %","0 %","0 %","0 %"
"13","age 30-34","lvl 1","100 %","98 %","99 %","98 %","97 %"
"14","age 30-34","lvl 2","0 %","1 %","1 %","2 %","2 %"
"15","age 30-34","lvl 3","0 %","0 %","0 %","0 %","0 %"
"16","age 35-39","lvl 1","99 %","98 %","98 %","97 %","96 %"
"17","age 35-39","lvl 2","1 %","1 %","1 %","3 %","4 %"
"18","age 35-39","lvl 3","0 %","0 %","0 %","0 %","0 %"
"19","age 40-44","lvl 1","99 %","98 %","98 %","96 %","93 %"
"20","age 40-44","lvl 2","1 %","2 %","2 %","4 %","7 %"
"21","age 40-44","lvl 3","0 %","0 %","0 %","0 %","0 %"
"22","age 45-49","lvl 1","99 %","98 %","96 %","95 %","91 %"
"23","age 45-49","lvl 2","1 %","2 %","4 %","4 %","8 %"
"24","age 45-49","lvl 3","0 %","0 %","0 %","0 %","1 %"
"25","age 50-54","lvl 1","98 %","96 %","95 %","92 %","86 %"
"26","age 50-54","lvl 2","2 %","4 %","5 %","8 %","13 %"
"27","age 50-54","lvl 3","0 %","0 %","1 %","0 %","1 %"
"28","age 55-59","lvl 1","96 %","96 %","93 %","89 %","85 %"
"29","age 55-59","lvl 2","4 %","4 %","7 %","10 %","14 %"
"30","age 55-59","lvl 3","0 %","0 %","0 %","0 %","1 %"
"31","age 60-64","lvl 1","97 %","95 %","92 %","92 %","85 %"
"32","age 60-64","lvl 2","3 %","4 %","7 %","8 %","14 %"
"33","age 60-64","lvl 3","0 %","0 %","0 %","0 %","1 %"
"34","age 65-69","lvl 1","97 %","93 %","93 %","90 %","86 %"
"35","age 65-69","lvl 2","3 %","6 %","7 %","10 %","13 %"
"36","age 65-69","lvl 3","0 %","0 %","0 %","1 %","1 %"
"37","age 70-74","lvl 1","94 %","91 %","93 %","87 %","86 %"
"38","age 70-74","lvl 2","6 %","9 %","7 %","12 %","13 %"
"39","age 70-74","lvl 3","0 %","0 %","0 %","1 %","1 %"
"40","age 75-79","lvl 1","93 %","88 %","89 %","89 %","78 %"
"41","age 75-79","lvl 2","6 %","12 %","10 %","10 %","22 %"
"42","age 75-79","lvl 3","0 %","0 %","1 %","1 %","0 %"
"43","age 80-84","lvl 1","86 %","88 %","81 %","85 %","78 %"
"44","age 80-84","lvl 2","13 %","11 %","18 %","14 %","21 %"
"45","age 80-84","lvl 3","1 %","1 %","2 %","1 %","1 %"
"46","age 85-89","lvl 1","82 %","78 %","79 %","75 %","66 %"
"47","age 85-89","lvl 2","17 %","22 %","19 %","23 %","32 %"
"48","age 85-89","lvl 3","2 %","1 %","2 %","2 %","3 %"
"49","age 90+","lvl 1","70 %","68 %","66 %","68 %","57 %"
"50","age 90+","lvl 2","28 %","28 %","28 %","27 %","41 %"
"51","age 90+","lvl 3","1 %","4 %","6 %","5 %","3 %"
