"age5","eq5d.Least deprived","eq5d.Less deprived","eq5d.Median deprived","eq5d.More deprieved","eq5d.Most deprived","most/least ratio"
16,"0.93 (0.51; 1.35)","0.89 (0.47; 1.31)","0.92 (0.50; 1.35)","0.93 (0.50; 1.35)","0.91 (0.49; 1.34)","0.99 (0.93; 1.04)"
18,"0.94 (0.51; 1.36)","0.94 (0.52; 1.36)","0.93 (0.50; 1.35)","0.93 (0.51; 1.35)","0.94 (0.51; 1.36)","1.00 (0.94; 1.07)"
20,"0.92 (0.50; 1.34)","0.92 (0.50; 1.34)","0.89 (0.47; 1.30)","0.88 (0.46; 1.30)","0.88 (0.46; 1.30)","0.96 (0.88; 1.03)"
25,"0.91 (0.49; 1.33)","0.89 (0.47; 1.31)","0.90 (0.48; 1.31)","0.89 (0.47; 1.31)","0.89 (0.48; 1.31)","0.98 (0.93; 1.06)"
30,"0.90 (0.48; 1.32)","0.94 (0.52; 1.36)","0.93 (0.52; 1.35)","0.90 (0.48; 1.32)","0.91 (0.49; 1.33)","1.01 (0.97; 1.06)"
35,"0.89 (0.47; 1.31)","0.84 (0.42; 1.26)","0.86 (0.44; 1.28)","0.87 (0.45; 1.29)","0.85 (0.43; 1.27)","0.95 (0.89; 1.02)"
40,"0.90 (0.48; 1.32)","0.91 (0.49; 1.33)","0.87 (0.45; 1.29)","0.82 (0.40; 1.24)","0.86 (0.44; 1.28)","0.96 (0.91; 1.01)"
45,"0.85 (0.43; 1.27)","0.90 (0.48; 1.32)","0.85 (0.43; 1.27)","0.80 (0.38; 1.22)","0.73 (0.31; 1.15)","0.86 (0.76; 0.95)"
50,"0.89 (0.47; 1.30)","0.86 (0.44; 1.28)","0.88 (0.46; 1.30)","0.77 (0.35; 1.19)","0.79 (0.37; 1.21)","0.89 (0.82; 0.95)"
55,"0.88 (0.46; 1.30)","0.83 (0.41; 1.25)","0.84 (0.42; 1.26)","0.78 (0.36; 1.19)","0.73 (0.31; 1.15)","0.83 (0.75; 0.91)"
60,"0.86 (0.44; 1.28)","0.85 (0.43; 1.27)","0.85 (0.43; 1.27)","0.75 (0.34; 1.17)","0.67 (0.25; 1.09)","0.78 (0.70; 0.86)"
65,"0.87 (0.45; 1.29)","0.82 (0.41; 1.24)","0.81 (0.39; 1.22)","0.72 (0.30; 1.14)","0.71 (0.29; 1.13)","0.81 (0.72; 0.89)"
70,"0.82 (0.40; 1.24)","0.84 (0.42; 1.26)","0.80 (0.38; 1.22)","0.73 (0.31; 1.15)","0.79 (0.37; 1.21)","0.96 (0.87; 1.04)"
75,"0.82 (0.40; 1.24)","0.81 (0.39; 1.23)","0.79 (0.36; 1.21)","0.79 (0.37; 1.22)","0.71 (0.29; 1.14)","0.87 (0.78; 0.96)"
80,"0.77 (0.35; 1.19)","0.78 (0.36; 1.20)","0.75 (0.32; 1.17)","0.79 (0.37; 1.22)","0.79 (0.36; 1.22)","1.03 (0.93; 1.14)"
85,"0.77 (0.34; 1.19)","0.72 (0.29; 1.14)","0.73 (0.30; 1.16)","0.64 (0.21; 1.07)","0.69 (0.25; 1.13)","0.91 (0.71; 1.14)"
90,"0.70 (0.26; 1.14)","0.70 (0.26; 1.14)","0.67 (0.23; 1.10)","0.70 (0.24; 1.15)","0.36 (-0.12; 0.84)","0.52 (-0.33; 1.01)"
