"age5","eq5d.Least deprived","eq5d.Less deprived","eq5d.Median deprived","eq5d.More deprieved","eq5d.Most deprived","most/least ratio"
16,"0.90 (0.54; 1.26)","0.92 (0.56; 1.28)","0.92 (0.56; 1.28)","0.91 (0.55; 1.27)","0.92 (0.56; 1.28)","1.01 (1.01; 1.01)"
18,"0.96 (0.60; 1.32)","0.87 (0.51; 1.23)","0.95 (0.59; 1.31)","0.95 (0.59; 1.31)","0.86 (0.50; 1.22)","0.89 (0.89; 0.89)"
20,"0.93 (0.57; 1.29)","0.91 (0.55; 1.27)","0.91 (0.55; 1.26)","0.92 (0.56; 1.28)","0.92 (0.56; 1.27)","0.99 (0.99; 0.99)"
25,"0.94 (0.58; 1.29)","0.97 (0.61; 1.32)","0.93 (0.57; 1.28)","0.92 (0.56; 1.27)","0.90 (0.54; 1.25)","0.96 (0.96; 0.96)"
30,"0.95 (0.59; 1.30)","0.95 (0.59; 1.30)","0.93 (0.57; 1.29)","0.88 (0.53; 1.24)","0.91 (0.56; 1.27)","0.97 (0.97; 0.97)"
35,"0.94 (0.58; 1.29)","0.93 (0.57; 1.28)","0.92 (0.56; 1.27)","0.91 (0.55; 1.26)","0.89 (0.53; 1.25)","0.95 (0.95; 0.95)"
40,"0.96 (0.61; 1.32)","0.93 (0.57; 1.28)","0.89 (0.53; 1.25)","0.89 (0.53; 1.25)","0.89 (0.53; 1.25)","0.92 (0.92; 0.92)"
45,"0.94 (0.58; 1.29)","0.90 (0.54; 1.26)","0.93 (0.57; 1.28)","0.90 (0.54; 1.25)","0.83 (0.48; 1.19)","0.89 (0.89; 0.89)"
50,"0.91 (0.56; 1.27)","0.92 (0.57; 1.28)","0.93 (0.57; 1.29)","0.87 (0.52; 1.23)","0.84 (0.49; 1.20)","0.92 (0.92; 0.92)"
55,"0.95 (0.59; 1.31)","0.93 (0.57; 1.28)","0.91 (0.55; 1.27)","0.86 (0.50; 1.22)","0.87 (0.51; 1.22)","0.91 (0.91; 0.91)"
60,"0.96 (0.60; 1.32)","0.89 (0.53; 1.25)","0.90 (0.54; 1.25)","0.87 (0.51; 1.23)","0.83 (0.48; 1.19)","0.87 (0.87; 0.87)"
65,"0.93 (0.58; 1.29)","0.95 (0.59; 1.30)","0.94 (0.58; 1.30)","0.91 (0.55; 1.26)","0.80 (0.44; 1.16)","0.86 (0.86; 0.86)"
70,"0.95 (0.59; 1.31)","0.93 (0.57; 1.29)","0.89 (0.54; 1.25)","0.91 (0.55; 1.27)","0.85 (0.49; 1.20)","0.89 (0.89; 0.89)"
75,"0.90 (0.55; 1.26)","0.90 (0.54; 1.26)","0.88 (0.53; 1.24)","0.88 (0.52; 1.24)","0.88 (0.52; 1.23)","0.97 (0.97; 0.97)"
80,"0.95 (0.59; 1.30)","0.89 (0.54; 1.25)","0.91 (0.55; 1.27)","0.88 (0.52; 1.23)","0.84 (0.48; 1.20)","0.89 (0.89; 0.89)"
85,"0.87 (0.51; 1.23)","0.88 (0.52; 1.24)","0.85 (0.49; 1.21)","0.80 (0.43; 1.16)","0.74 (0.38; 1.11)","0.85 (0.85; 0.85)"
90,"0.78 (0.42; 1.15)","0.78 (0.41; 1.15)","0.84 (0.46; 1.21)","0.68 (0.30; 1.05)","0.88 (0.50; 1.25)","1.12 (1.12; 1.12)"
