"age5","eq5d.Least deprived","eq5d.Less deprived","eq5d.Median deprived","eq5d.More deprieved","eq5d.Most deprived","most/least ratio"
16,"0.94 (0.38; 1.51)","0.97 (0.40; 1.53)","0.94 (0.38; 1.51)","0.93 (0.37; 1.50)","0.95 (0.38; 1.52)","1.01 (0.96; 1.06)"
18,"0.93 (0.36; 1.49)","0.97 (0.40; 1.53)","0.96 (0.39; 1.53)","0.95 (0.38; 1.51)","0.95 (0.38; 1.52)","1.03 (0.97; 1.08)"
20,"0.92 (0.36; 1.49)","0.96 (0.39; 1.52)","0.93 (0.37; 1.50)","0.92 (0.35; 1.49)","0.93 (0.36; 1.49)","1.00 (0.96; 1.04)"
25,"0.95 (0.38; 1.52)","0.95 (0.38; 1.52)","0.95 (0.38; 1.51)","0.92 (0.35; 1.48)","0.93 (0.36; 1.49)","0.98 (0.95; 1.00)"
30,"0.93 (0.36; 1.50)","0.93 (0.36; 1.49)","0.93 (0.36; 1.50)","0.93 (0.36; 1.49)","0.92 (0.35; 1.49)","0.99 (0.95; 1.03)"
35,"0.94 (0.38; 1.51)","0.92 (0.36; 1.49)","0.92 (0.35; 1.49)","0.88 (0.32; 1.45)","0.87 (0.30; 1.43)","0.92 (0.89; 0.95)"
40,"0.92 (0.35; 1.48)","0.91 (0.35; 1.48)","0.91 (0.34; 1.47)","0.89 (0.33; 1.46)","0.83 (0.27; 1.40)","0.91 (0.84; 0.97)"
45,"0.91 (0.34; 1.47)","0.86 (0.30; 1.43)","0.89 (0.33; 1.46)","0.84 (0.27; 1.41)","0.74 (0.18; 1.31)","0.82 (0.73; 0.90)"
50,"0.90 (0.33; 1.47)","0.88 (0.32; 1.45)","0.87 (0.30; 1.44)","0.80 (0.24; 1.37)","0.77 (0.20; 1.34)","0.86 (0.79; 0.91)"
55,"0.90 (0.33; 1.46)","0.86 (0.29; 1.43)","0.85 (0.28; 1.41)","0.82 (0.26; 1.39)","0.69 (0.13; 1.26)","0.77 (0.69; 0.85)"
60,"0.88 (0.31; 1.45)","0.84 (0.27; 1.40)","0.81 (0.24; 1.37)","0.75 (0.19; 1.32)","0.68 (0.11; 1.25)","0.77 (0.70; 0.84)"
65,"0.90 (0.33; 1.46)","0.81 (0.25; 1.38)","0.82 (0.25; 1.38)","0.79 (0.22; 1.35)","0.76 (0.19; 1.32)","0.84 (0.79; 0.89)"
70,"0.83 (0.27; 1.40)","0.81 (0.24; 1.37)","0.84 (0.28; 1.41)","0.75 (0.18; 1.32)","0.76 (0.19; 1.32)","0.91 (0.83; 0.99)"
75,"0.83 (0.27; 1.40)","0.79 (0.22; 1.36)","0.78 (0.21; 1.34)","0.79 (0.22; 1.35)","0.67 (0.10; 1.24)","0.80 (0.68; 0.92)"
80,"0.77 (0.20; 1.34)","0.77 (0.20; 1.33)","0.71 (0.15; 1.28)","0.68 (0.11; 1.24)","0.77 (0.21; 1.34)","1.01 (0.88; 1.14)"
85,"0.68 (0.11; 1.25)","0.74 (0.17; 1.31)","0.75 (0.18; 1.32)","0.65 (0.08; 1.21)","0.66 (0.09; 1.23)","0.98 (0.86; 1.14)"
90,"0.67 (0.10; 1.24)","0.63 (0.06; 1.20)","0.71 (0.14; 1.29)","0.60 (0.02; 1.18)","0.56 (-0.02; 1.13)","0.84 (0.54; 1.15)"
