"age5","eq5d.Least deprived","eq5d.Less deprived","eq5d.Median deprived","eq5d.More deprieved","eq5d.Most deprived","most/least ratio"
16,"0.96 (0.41; 1.52)","0.95 (0.39; 1.50)","0.93 (0.38; 1.49)","0.95 (0.40; 1.50)","0.94 (0.39; 1.49)","0.98 (0.95; 1.00)"
18,"0.94 (0.39; 1.49)","0.93 (0.38; 1.48)","0.95 (0.40; 1.50)","0.94 (0.39; 1.50)","0.88 (0.32; 1.43)","0.93 (0.85; 1.00)"
20,"0.93 (0.37; 1.48)","0.93 (0.37; 1.48)","0.94 (0.38; 1.49)","0.91 (0.36; 1.46)","0.91 (0.36; 1.46)","0.98 (0.95; 1.02)"
25,"0.93 (0.37; 1.48)","0.94 (0.38; 1.49)","0.92 (0.37; 1.47)","0.91 (0.36; 1.46)","0.89 (0.34; 1.45)","0.97 (0.93; 1.00)"
30,"0.93 (0.38; 1.49)","0.94 (0.39; 1.49)","0.92 (0.37; 1.48)","0.90 (0.34; 1.45)","0.88 (0.33; 1.43)","0.94 (0.91; 0.97)"
35,"0.93 (0.38; 1.48)","0.92 (0.37; 1.47)","0.90 (0.35; 1.45)","0.86 (0.31; 1.41)","0.84 (0.28; 1.39)","0.90 (0.85; 0.94)"
40,"0.91 (0.36; 1.47)","0.91 (0.36; 1.46)","0.88 (0.33; 1.44)","0.86 (0.31; 1.41)","0.79 (0.24; 1.35)","0.87 (0.82; 0.91)"
45,"0.89 (0.34; 1.44)","0.89 (0.34; 1.44)","0.88 (0.33; 1.44)","0.87 (0.32; 1.42)","0.76 (0.21; 1.32)","0.86 (0.80; 0.91)"
50,"0.88 (0.33; 1.43)","0.86 (0.31; 1.42)","0.81 (0.26; 1.37)","0.77 (0.22; 1.33)","0.72 (0.17; 1.27)","0.82 (0.77; 0.88)"
55,"0.87 (0.32; 1.42)","0.84 (0.29; 1.39)","0.80 (0.24; 1.35)","0.78 (0.22; 1.33)","0.66 (0.11; 1.21)","0.76 (0.69; 0.83)"
60,"0.86 (0.31; 1.41)","0.82 (0.27; 1.37)","0.79 (0.24; 1.34)","0.75 (0.20; 1.31)","0.71 (0.16; 1.26)","0.83 (0.77; 0.88)"
65,"0.85 (0.29; 1.40)","0.80 (0.25; 1.36)","0.80 (0.25; 1.35)","0.74 (0.19; 1.29)","0.63 (0.08; 1.18)","0.75 (0.66; 0.83)"
70,"0.82 (0.27; 1.37)","0.81 (0.26; 1.36)","0.77 (0.22; 1.32)","0.72 (0.17; 1.27)","0.69 (0.13; 1.24)","0.84 (0.74; 0.91)"
75,"0.81 (0.26; 1.36)","0.74 (0.19; 1.30)","0.75 (0.20; 1.30)","0.74 (0.18; 1.29)","0.66 (0.11; 1.21)","0.81 (0.72; 0.90)"
80,"0.73 (0.18; 1.28)","0.72 (0.17; 1.28)","0.72 (0.17; 1.27)","0.67 (0.12; 1.23)","0.61 (0.06; 1.16)","0.84 (0.71; 0.96)"
85,"0.68 (0.12; 1.23)","0.69 (0.13; 1.24)","0.57 (0.02; 1.12)","0.60 (0.05; 1.16)","0.68 (0.12; 1.23)","1.00 (0.81; 1.21)"
90,"0.65 (0.09; 1.20)","0.58 (0.03; 1.14)","0.64 (0.08; 1.19)","0.62 (0.07; 1.18)","0.52 (-0.03; 1.08)","0.81 (0.57; 1.07)"
